ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
CALC,NASDAQ,1.1147612490722734,2.859999895095825,137,1y,2024-01-01,,257,260
BKYI,NASDAQ,1.1129035298664482,3.0,249,1y,2024-01-01,,258,261
GRPN,NASDAQ,1.1101618330925418,12.84000015258789,249,1y,2024-01-01,,259,262
MESO,NASDAQ,1.1084146200155451,2.200000047683716,249,1y,2024-01-01,,260,263
EJH,NASDAQ,1.1081930667578745,250000.0,249,1y,2024-01-01,,261,264
LMFA,NASDAQ,1.1067208956373564,3.7019999027252197,249,1y,2024-01-01,,262,265
CETX,NASDAQ,1.1040013314282504,157815.0,249,1y,2024-01-01,,263,266
BGM,NASDAQ,1.103760572822494,3.8550000190734863,249,1y,2024-01-01,,264,267
IFRX,NASDAQ,1.1010393506515024,1.6299999952316284,249,1y,2024-01-01,,265,268
TVRD,NASDAQ,1.1008845626822465,26.74799919128418,249,1y,2024-01-01,,266,269
CNTX,NASDAQ,1.1008618915027077,1.1299999952316284,249,1y,2024-01-01,,267,270
DFNS,NASDAQ,1.0987426515210714,22.92799949645996,249,1y,2024-01-01,,268,271
FEED,NASDAQ,1.097750413398077,126.5,249,1y,2024-01-01,,269,272
ICCM,NASDAQ,1.096280919270276,1.0700000524520874,249,1y,2024-01-01,,270,273
BWEN,NASDAQ,1.0961240575637854,2.7699999809265137,249,1y,2024-01-01,,271,274
BGMS,NASDAQ,1.095474139589367,309.3516845703125,249,1y,2024-01-01,,272,275
AKBA,NASDAQ,1.09400946787171,1.2400000095367432,249,1y,2024-01-01,,273,276
HUT,NASDAQ,1.0906402731948726,13.34000015258789,249,1y,2024-01-01,,274,277
BRNS,NASDAQ,1.0891562437630622,3.690000057220459,249,1y,2024-01-01,,275,278
BITF,NASDAQ,1.0891074956325177,2.9100000858306885,249,1y,2024-01-01,,276,279
IVDA,NASDAQ,1.085209172083853,5.039999961853027,249,1y,2024-01-01,,277,280
IQST,NASDAQ,1.0848986893923742,11.799409866333008,249,1y,2024-01-01,,278,281
CELU,NASDAQ,1.0759453404556492,2.4700000286102295,249,1y,2024-01-01,,279,282
GREEL,NASDAQ,1.0740789397312498,6.654073238372803,249,1y,2024-01-01,,280,283
BODI,NASDAQ,1.0733714207644691,8.289999961853027,249,1y,2024-01-01,,281,284
CRVS,NASDAQ,1.0719641216905087,1.7599999904632568,249,1y,2024-01-01,,282,285
HYFM,NASDAQ,1.0717025443987471,9.180000305175781,249,1y,2024-01-01,,283,286
CRGO,NASDAQ,1.0702402426451652,3.3299999237060547,249,1y,2024-01-01,,284,287
ASRT,NASDAQ,1.0699519366309178,16.049999237060547,249,1y,2024-01-01,,285,288
INKT,NASDAQ,1.0695824302183734,10.699999809265137,249,1y,2024-01-01,,286,289
BIAF,NASDAQ,1.0694368467956785,44.130001068115234,249,1y,2024-01-01,,287,290
INOD,NASDAQ,1.0663096469124598,8.140000343322754,249,1y,2024-01-01,,288,292
ADXN,NASDAQ,1.0635400525569907,6.050000190734863,249,1y,2024-01-01,,289,293
BVS,NASDAQ,1.0625658788744303,5.269999980926514,249,1y,2024-01-01,,290,294
CADL,NASDAQ,1.062523256342136,1.4700000286102295,249,1y,2024-01-01,,291,295
GOSS,NASDAQ,1.060683722537369,0.9129999876022339,249,1y,2024-01-01,,292,296
IPX,NASDAQ,1.0593128852694897,9.260000228881836,249,1y,2024-01-01,,293,297
