ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
KROS,NASDAQ,0.5605332248660434,39.7599983215332,249,1y,2024-01-01,9895576.335340833,147,167
JRVR,NASDAQ,0.5591208637108868,8.96352481842041,249,1y,2024-01-01,7058582.119558728,148,168
FCNCA,NASDAQ,0.5579172366935048,1406.5328369140625,249,1y,2024-01-01,94519249.11489335,149,169
EOLS,NASDAQ,0.5514771294285474,10.529999732971191,249,1y,2024-01-01,6102852.061526737,150,171
WBD,NASDAQ,0.5488194532296407,11.380000114440918,249,1y,2024-01-01,244271500.31789446,151,172
IRON,NASDAQ,0.5486380312729535,57.7599983215332,249,1y,2024-01-01,11300344.274054633,152,173
DCGO,NASDAQ,0.5438449996466923,5.590000152587891,249,1y,2024-01-01,5136818.029104717,153,175
LZ,NASDAQ,0.5401137077169949,11.300000190734863,249,1y,2024-01-01,15196781.718326751,154,176
INTA,NASDAQ,0.5394670998957708,38.02000045776367,249,1y,2024-01-01,17406551.94717286,155,177
INMD,NASDAQ,0.5393683785957425,22.239999771118164,249,1y,2024-01-01,51446870.80017877,156,178
DNLI,NASDAQ,0.5393329719753989,21.459999084472656,249,1y,2024-01-01,20024641.153571717,157,179
MDGL,NASDAQ,0.5391042896942408,231.3800048828125,249,1y,2024-01-01,74130141.97201198,158,180
ACLX,NASDAQ,0.5371246141284034,55.5,249,1y,2024-01-01,34463197.561621286,159,181
ABCL,NASDAQ,0.5369479959035945,5.710000038146973,249,1y,2024-01-01,7279108.5175132,160,182
EGBN,NASDAQ,0.5359500190393368,27.535566329956055,249,1y,2024-01-01,5198963.511348906,161,183
FUTU,NASDAQ,0.5331179503511877,53.37153625488281,249,1y,2024-01-01,103338194.42286415,162,185
KNSA,NASDAQ,0.5294526277960613,17.540000915527344,249,1y,2024-01-01,7033407.4696510555,163,186
FLYW,NASDAQ,0.5277565262139965,23.149999618530273,249,1y,2024-01-01,37332611.5780452,164,187
CLFD,NASDAQ,0.5264140386928511,29.079999923706055,249,1y,2024-01-01,8059973.470839243,165,188
CELH,NASDAQ,0.5246559122923922,54.52000045776367,249,1y,2024-01-01,262160281.58104306,166,189
FSLR,NASDAQ,0.5237427101119498,172.27999877929688,249,1y,2024-01-01,375373930.3496346,167,190
